ID;NOMBRE;CADENA ASOCIADA
REG;REGIONAL;AIELLO
REG;REGIONAL;ALVEAR
REG;REGIONAL;ATOMO
REG;REGIONAL;BARALE
REG;REGIONAL;BASUALDO
REG;REGIONAL;BECERRA
REG;REGIONAL;CAFE AMERICA
REG;REGIONAL;CAPO
MOD;MODERNO;CAROMAR
MOD;MODERNO;CARREFOUR
REG;REGIONAL;CEREALES
MOD;MODERNO;CHANGO MAS
REG;REGIONAL;COMODIN
MOD;MODERNO;COOPERATIVA
REG;REGIONAL;CORDIEZ
MOD;MODERNO;COTO
REG;REGIONAL;DAR
REG;REGIONAL;DDI
REG;REGIONAL;DELCA PINTOS
MAY;MAYORISTA;DIARCO
REG;REGIONAL;DINOSAURIO
MOD;MODERNO;DISCO
REG;REGIONAL;DON EMILIO
HOMC;HOMECENTER;EASY
REG;REGIONAL;EL TUNEL
MOD;MODERNO;FARMACITY
REG;REGIONAL;FERNIPLAST
REG;REGIONAL;FRIGORIFICO
REG;REGIONAL;GUIRAO
REG;REGIONAL;HERGO
REG;REGIONAL;ISIS
MOD;MODERNO;JOSIMAR
MOD;MODERNO;JUMBO
REG;REGIONAL;KIBEL
REG;REGIONAL;LA  GALLEGA
MOD;MODERNO;LA ECONOMIA
REG;REGIONAL;LA REINA
REG;REGIONAL;LIBERTAD
MAY;MAYORISTA;MAKRO
REG;REGIONAL;MALAMBO
REG;REGIONAL;MAMI
REG;REGIONAL;MARIANO MAX
MAY;MAYORISTA;MAXICONSUMO
REG;REGIONAL;MEDAMAX
REG;REGIONAL;MICROPACK
REG;REGIONAL;MODELO
MAY;MAYORISTA;NINI
REG;REGIONAL;NIPON
REG;REGIONAL;OSCAR DAVID
REG;REGIONAL;PETRELLI
REG;REGIONAL;PIANTONI
REG;REGIONAL;SAN RAMON
HOMC;HOMECENTER;SODIMAC
REG;REGIONAL;SUPER IMPERIO
REG;REGIONAL;SUPER TOP
REG;REGIONAL;SUPREMO
REG;REGIONAL;TADICOR
REG;REGIONAL;TOLEDO
MAY;MAYORISTA;TORNADO
UPA;PAÃ‘ALERA;UPA
MOD;MODERNO;VEA
MAY;MAYORISTA;VITAL
MOD;MODERNO;WALMART
MAY;MAYORISTA;YAGUAR
MAY;MAYORISTA;MAYORISTA BUEN SOL
